Actor,Count,TotalGrossWorldWide,AverageGrossPerFilm,top_3_count,weight
Michael Currie,3,284314512.2355983,94771504.07853277,1,70069974.23942438
Albert Popwell,1,213039846.6312952,213039846.6312952,1,147667969.03940544
Audrie Neenan,3,288535550.192576,96178516.73085867,1,71110258.88259436
Mark Keyloun,1,213039846.6312952,213039846.6312952,0,44300390.71182163
Clint Eastwood,18,3029059968.4379606,168281109.35766447,3,206455607.43753234
Jack Thibeau,3,452570930.6172648,150856976.8724216,0,62739652.91214954
Sondra Locke,3,574516940.7825937,191505646.92753124,0,79644959.53747597
Pat Hingle,12,2621805436.9085073,218483786.40904227,0,168119954.269691
Bradford Dillman,3,488940483.23637235,162980161.07879078,0,67781543.48338173
Paul Drake,1,213039846.6312952,213039846.6312952,0,44300390.71182163
Kathryn Harrold,4,67028054.39907466,16757013.599768665,4,26969372.986641508
Paul Shenar,4,93318783.23869067,23329695.80967267,4,37547696.921642154
Robert Davi,10,1001466162.9059178,100146616.29059178,7,189711467.25407022
Mordecai Lawner,1,46393512.630027376,46393512.630027376,0,9647259.742732706
Steven Hill,8,628683259.3094114,78585407.41367643,5,127343969.08461599
Darren McGavin,6,158179830.80817634,26363305.134696055,2,27360332.279598456
Arnold Schwarzenegger,20,6952350290.922454,347617514.54612267,1,354540323.1317418
Sam Wanamaker,9,623402909.5114809,69266989.9457201,0,47847941.54567507
Ed Lauter,14,1008424593.2343714,72030328.08816938,0,58518523.33938758
Joe Regalbuto,3,109399163.77023509,36466387.9234117,0,15165944.384590834
Matthew Broderick,25,1883487549.6514692,75339501.98605877,25,245463370.59704065
Alfred Molina,22,7423499340.822239,337431788.2191927,21,1024351293.2245296
Alex Serra,1,53735275.539033465,53735275.539033465,1,37246454.73649284
Rutger Hauer,11,512107785.2646833,46555253.2058803,5,71514646.9329292
Michelle Pfeiffer,23,4852571507.7754965,210981369.90328246,2,241966706.57614884
Giancarlo Prete,1,53735275.539033465,53735275.539033465,0,11173936.420947852
Ken Hutchison,1,53735275.539033465,53735275.539033465,0,11173936.420947852
John Wood,10,674952608.0351013,67495260.80351013,1,59883229.72230114
Loris Loddi,1,53735275.539033465,53735275.539033465,0,11173936.420947852
Leo McKern,1,53735275.539033465,53735275.539033465,0,11173936.420947852
J. Smith-Cameron,3,98574332.93381521,32858110.977938402,3,45551013.96576758
Helen Shaver,8,470937088.0023825,58867136.000297815,7,118026690.1907389
Katherine Heigl,10,1173168533.885206,117316853.3885206,6,202545740.2751374
