Director,Count,TotalGrossWorldWide,AverageGrossPerFilm,Director_weight
Gina Prince-Bythewood,4,226027330.08397982,56506832.520994954,90944238.57085344
Tim Story,9,1937892305.2929225,215321367.25476918,495795770.44392776
Christine Jeffs,3,29143568.196448866,9714522.732149621,13467188.084550014
Martha Coolidge,8,247374973.89918393,30921871.73739799,67942296.5586491
Wilson Yip,2,412048614.00034106,206024307.00017053,226340835.4347186
Denzel Washington,3,165842375.95579395,55280791.98526465,76635450.20741403
Don Michael Paul,1,32575980.44780433,32575980.44780433,22579949.001371477
Danièle Thompson,2,40682599.48798573,20341299.743992865,22347201.866232038
Pierre DeCelles,1,1511759.7842434489,1511759.7842434489,1047872.0321322578
Tim Burton,16,5808102671.695285,363006416.9809553,1028474624.5684776
John Frankenheimer,9,425814787.8841954,47312754.20935504,108941642.55095221
James Franco,1,37069196.05267624,37069196.05267624,25694408.729536388
Gordon Chan,1,56748596.370119564,56748596.370119564,39335129.57468272
Alejandro G. Iñárritu,4,953265970.3774385,238316492.59435964,383555598.3396829
Catalina Aguilar Mastretta,1,8057346.663658615,8057346.663658615,5584927.122709051
Giuseppe Tornatore,6,103757169.76562378,17292861.627603963,33650354.947363734
Daniel Barnz,3,68791969.7829849,22930656.5943283,31788639.933493957
Abel Ferrara,3,9954915.398451664,3318305.1328172213,4600147.694099704
Jonathan Demme,14,853512355.8577858,60965168.27555613,165096736.20884985
Gabriel Axel,1,12439995.597183099,12439995.597183099,8622747.874365598
Jane Campion,7,159613926.48500255,22801989.497857507,47415404.19479224
John Flynn,4,163483823.0080258,40870955.75200645,65779265.70469574
Ava DuVernay,3,248426232.40597025,82808744.13532342,114797295.04621866
Alex Sichel,1,555444.2184049845,555444.2184049845,385004.59394573746
Bruce Beresford,15,525679994.512783,35045332.967518866,97166294.95288081
Richard Stanley,1,13355955.906702373,13355955.906702373,9257643.180413697
Lasse Hallström,15,1549848420.2630508,103323228.01753671,286472816.74683166
Albert Brooks,5,125506341.32227953,25101268.264455907,44975435.102472536
Mario Van Peebles,4,159380846.50727558,39845211.626818895,64128394.22116234
Richard Curtis,3,580844953.4573063,193614984.48576877,268407361.22093633
Kirk Wong,1,50485463.10666258,50485463.10666258,34993856.41164631
Michael Mayer,3,37952272.84012583,12650757.613375276,17537673.943316672
Sam Mendes,7,3203294025.4120784,457613432.2017255,951580380.9509571
Ken Marino,2,86053266.62998563,43026633.314992815,47269588.0998678
Lars von Trier,7,160045705.79414308,22863672.256306153,47543669.88511576
Lukas Moodysson,2,26237387.4320837,13118693.71604185,14412358.127716687
Kelly Asbury,4,754126775.5025704,188531693.8756426,303430055.81887907
Dwight H. Little,5,368497498.060824,73699499.6121648,132051776.30746564
Sofia Coppola,6,226557038.31712547,37759506.386187576,73476606.70020132
Khurram H. Alavi,1,4924803.588198315,4924803.588198315,3413613.721971164
Jason Hall,1,12425372.649249347,12425372.649249347,8612612.019233843
Jon Turteltaub,7,2474173677.5736237,353453382.51051766,734985646.6396235
Oliver Stone,13,1274569279.013881,98043790.69337545,258743184.45261675
Spike Lee,20,1018174543.9950352,50908727.19975176,154992762.23558494
Margarethe von Trotta,3,29059587.052765097,9686529.017588366,13428380.555906944
John McTiernan,11,2682514440.4207983,243864949.12916347,605981633.7412708
Ethan Coen,5,731898855.6311898,146379771.12623796,262277341.0188723
Sean Anders,6,925142792.9423645,154190465.4903941,300040791.6853209
Wolfgang Petersen,9,3133478661.85791,348164295.76199,801677917.3343283
Gia Coppola,2,1261241.8544287262,630620.9272143631,692807.9001289769
Scott Derrickson,5,1711587948.8527095,342317589.7705419,613350782.9546932
Phil Joanou,6,171011609.21797973,28501934.869663287,55462204.33059131
Norman Tokar,1,208720870.0,208720870.0,144674282.56451887
John Moore,3,612833120.4610558,204277706.82035193,283189033.0675561
Tom McCarthy,4,191799235.26078323,47949808.81519581,77172240.20114295
Michael Apted,21,2401828458.6295104,114372783.7442624,353531130.06228495
