Company,TotalBudget,TotalGrossWorldWide,Count,AverageGrossPerFilm,AverageBudgetPerFilm,Production-Weight
The Malpaso Company,384688752.27428883,1403118357.9306374,9,155902039.77007082,42743194.697143205,1309339604.7020776
Warner Bros.,29000588940.44207,74198232976.45918,321,231147143.2288448,90344513.83315286,3415022251.631741
De Laurentiis Entertainment Group (DEG),312801216.1797223,311463616.6846231,12,25955301.39038526,26066768.01497686,66289349.96818461
International Film Corporation (II),63276327.4021111,117129852.86636929,3,39043284.288789764,21092109.134037033,100190866.58449674
Famous Films (II),168099775.93497282,202335069.60388732,4,50583767.40097183,42024943.983743206,97991730.64201164
Twentieth Century Fox,15172037406.088717,38414396711.82613,210,182925698.62774348,72247797.17185102,2478731166.0772066
Canal+,2492082914.669069,3944316940.325427,67,58870402.09440936,37195267.38312043,393158892.9232161
Alcor Films,381598440.7776704,699447493.7952021,8,87430936.72440027,47699805.0972088,352117902.7679124
New Regency Productions,3495274451.9100766,8113831884.694214,61,133013637.45400351,57299581.17885371,1274352287.422942
TaliaFilm II Productions,140508530.2706152,175188770.2650828,2,87594385.1325414,70254265.1353076,119984264.62165783
Producers Sales Organization (PSO),345938151.3520827,317357457.7175746,7,45336779.67393923,49419735.90744039,86486362.64066765
Woodcote,110133253.0120482,169584360.80190763,1,169584360.80190763,110133253.0120482,181000006.9123411
The Montecito Picture Company,217864929.86848015,448992088.18133235,4,112248022.04533309,54466232.46712004,372309644.0138061
Cold Spring Pictures,139917591.7978997,641523460.2681818,4,160380865.06704545,34979397.94947492,1183496561.5294633
Fox Searchlight Pictures,1103249349.9623117,1349834644.4437063,48,28121555.092577215,22984361.45754816,133905680.86184739
Skydance Media,2748765575.1565742,8381090316.924768,17,493005312.7602805,161692092.65626907,4344783314.977948
RatPac-Dune Entertainment,1283654812.3078077,3354670002.9605827,14,239619285.92575592,91689629.4505577,1695821092.0097399
Communicado Productions,60750554.51713396,4358694.277101329,2,2179347.1385506643,30375277.25856698,171781.75168853634
Village Roadshow Pictures,7040239048.052728,19060961738.924545,65,293245565.2142238,108311369.97004196,3326343477.1773047
New Zealand Film Commission,131781203.50120449,13325400.533602625,5,2665080.106720525,26356240.7002409,482855.0504604699
Figment Films,141630022.07821813,296172663.87281364,3,98724221.29093789,47210007.35940605,286199468.0628313
American Family Studios,1354598.3577769974,7310249.880349784,1,7310249.880349784,1354598.3577769974,27345090.24477183
Gravitas Ventures,1354598.3577769974,7310249.880349784,1,7310249.880349784,1354598.3577769974,27345090.24477183
Provident Films,11233616.030800702,60570268.08354331,4,15142567.020885827,2808404.0077001755,131405533.08489648
Westdeutscher Rundfunk (WDR),278994376.6886554,366280833.0094123,8,45785104.126176536,34874297.08608192,132074020.27447401
X-Filme Creative Pool,193041074.7458946,264950340.87041283,7,37850048.69577326,27577296.39227066,108025905.1887395
Canal Sur Televisión,30375277.25856698,507707.4213205282,1,507707.4213205282,30375277.25856698,5882.097698398962
Canwest Entertainment,30375277.25856698,507707.4213205282,1,507707.4213205282,30375277.25856698,5882.097698398962
Maestranza Films,30375277.25856698,507707.4213205282,1,507707.4213205282,30375277.25856698,5882.097698398962
Working Title Films,1500504484.7255826,3813908133.0953445,42,90807336.5022701,35726297.25537101,868121092.5011741
Michael London Productions,3311978.2608695654,16773447.662608696,1,16773447.662608696,3311978.2608695654,58882014.431812644
Brookwell-McNamara Entertainment,54758047.69855294,68588991.31340998,2,34294495.65670499,27379023.84927647,47192755.23282518
Indieproduction,32305921.520529673,6764685.096480636,2,3382342.548240318,16152960.760264836,778085.8047822976
Circle Management + Production,30375277.25856698,4758313.243986718,1,4758313.243986718,30375277.25856698,516667.6470703991
All Girl Productions,237821273.9655214,310410402.5281534,4,77602600.63203835,59455318.49138035,163018190.78018048
Marvel Productions,30375277.25856698,16565268.796642337,1,16565268.796642337,30375277.25856698,6261843.150419318
Hasbro,1524292164.8362682,5113640765.939264,7,730520109.4198949,217756023.5480383,5096134592.343853
Sunbow Productions,30375277.25856698,16565268.796642337,1,16565268.796642337,30375277.25856698,6261843.150419318
New Line Cinema,8272245105.03322,23289194593.80026,163,142878494.4404924,50749969.96952896,2051430189.4187016
DC Entertainment,1945184588.3974886,5080037050.6833105,13,390772080.82179314,149629583.72288373,2693260811.8226376
Walt Disney Pictures,19484672130.653313,57571851946.95527,163,353201545.68684214,119537865.83222891,5322289509.095999
Millennium Media,253647003.9681149,600502292.1700119,5,120100458.43400237,50729400.793622985,509459078.93471074
I Road Productions,30375277.25856698,9824919.598501679,1,9824919.598501679,30375277.25856698,2202739.909020485
Fourteen Films,30375277.25856698,9824919.598501679,1,9824919.598501679,30375277.25856698,2202739.909020485
Noujaim Films,60750554.51713396,7543778.960741587,2,3771889.4803707935,30375277.25856698,514567.2240839008
United Artists,2284332063.222775,5505390047.20805,51,107948824.4550598,44790824.76907402,1027970362.1460198
Eon Productions,1615995923.798366,4855162280.465065,11,441378389.1331877,146908720.345306,3295221656.006397
Mirage Enterprises,1092556085.7355235,2887099018.8106027,19,151952579.93740013,57502951.880817026,1202898587.7649493
Punch Productions,289675618.8858433,1081113592.2227592,4,270278398.0556898,72418904.72146082,1623472541.8329778
Columbia Pictures,24236523725.863895,64561033778.976135,315,204955662.79040042,76941345.16147268,3142399550.957797
Heron Communications,80480819.57139213,420834906.4554785,6,70139151.07591309,13413469.928565355,713678565.5594913
Mega Entertainment,13411179.57746479,26147060.665193662,1,26147060.665193662,13411179.57746479,35334929.75374553
Touchstone Pictures,9924711649.102549,21184070735.56488,158,134076397.06053722,62814630.69052246,1450634275.3630075
Jerry Bruckheimer Films,4175073818.4879704,13244580433.56101,24,551857518.0650421,173961409.10366544,5635146785.659021
Wildfire Films,3729218.342036553,9001465.412875326,1,9001465.412875326,3729218.342036553,15060315.97110103
Vitamin A Films,3729218.342036553,9001465.412875326,1,9001465.412875326,3729218.342036553,15060315.97110103
Greenery Studios,3729218.342036553,9001465.412875326,1,9001465.412875326,3729218.342036553,15060315.97110103
Jolie Pas,548684492.2610977,1776168827.474164,4,444042206.868541,137171123.06527442,2313449575.466602
Roth Films,506160338.4487652,1833854286.8748026,5,366770857.37496054,101232067.68975304,2380955298.795299
Imperial Entertainment,146867796.26854458,139813913.63614836,4,34953478.40903709,36716949.067136146,53553571.93537466
Signature Entertainment,69977493.4383202,128658961.96877953,1,128658961.96877953,69977493.4383202,163963494.288181
Universal Pictures,24082591084.986855,62989779659.18341,359,175458996.26513484,67082426.4205762,2701285278.7328815
Rothkirch Cartoon Film,30375277.25856698,7559026.120640661,1,7559026.120640661,30375277.25856698,1303877.834204788
Timeless Films,30375277.25856698,7559026.120640661,1,7559026.120640661,30375277.25856698,1303877.834204788
Ambient Entertainment GmbH,30375277.25856698,7559026.120640661,1,7559026.120640661,30375277.25856698,1303877.834204788
Gravier Productions,245028188.2352028,726374930.2023267,10,72637493.02023266,24502818.82352028,516340101.91021335
Perdido Productions,118576803.26876986,278353186.04918134,5,55670637.20983627,23715360.653753974,234154419.56723765
FilmNation Entertainment,633368757.55455,693281324.2887596,21,33013396.394702837,30160417.026407145,111698679.95922996
CG Cinéma,68367882.34507231,16472911.01882476,3,5490970.339608253,22789294.115024105,1834099.0205302348
Vortex Sutra,7617327.827938352,3606053.15018312,1,3606053.15018312,7617327.827938352,1183278.7394317682
