Writer,Count,TotalGrossWorldWide,AverageGrossPerFilm,WriterWeight
Joseph Stinson,2,230977026.28074,115488513.14037,126877099.73601896
Rita M. Fink,2,454532195.41940224,227266097.70970112,249677327.74152502
Harry Julian Fink,2,454532195.41940224,227266097.70970112,249677327.74152502
Gary DeVore,2,152101302.82728103,76050651.41364051,83550180.20424022
Luciano Vincenzoni,1,45064366.57133212,45064366.57133212,31236238.632638708
Sergio Donati,2,46458045.6240786,23229022.8120393,25519689.91505823
Tom Mankiewicz,3,242337793.24584633,80779264.41528212,111983838.75431824
Michael Thomas,1,52195792.41635688,52195792.41635688,36179366.350489944
Edward Khmara,2,186124958.64186555,93062479.32093278,102239583.3958986
C. Thomas Howell,3,82308475.02657408,27436158.342191357,38034591.600572325
Helen Shaver,2,218581169.52201268,109290584.76100634,120067979.45416522
Juliette Lewis,4,231368149.69512907,57842037.42378227,93093167.96226723
Jack Whittingham,1,169584360.80190763,169584360.80190763,117546921.55690278
Ian Fleming,2,873745952.3233513,436872976.16167563,479954020.19822705
Kevin McClory,1,169584360.80190763,169584360.80190763,117546921.55690278
Anthony Hopkins,17,2276204003.7676444,133894353.1628026,387004456.92353964
Scarlett Johansson,16,1979650368.6466157,123728148.04041348,350548240.06346244
Helen Mirren,13,786052040.0244592,60465541.54034302,159572030.59119812
Jim Sturgess,4,731512377.2422184,182878094.3105546,294330938.3371055
Abbie Cornish,4,574835446.4734904,143708861.6183726,231290490.24135458
Gerard Butler,14,2524455192.9006824,180318228.06433445,488310813.7720151
Aleksandra Vujcic,1,1051361.7250095601,1051361.7250095601,728748.4154390171
Rade Serbedzija,2,2621845.5886667804,1310922.7943333902,1440195.8913497995
Julian Arahanga,1,1051361.7250095601,1051361.7250095601,728748.4154390171
Tilda Swinton,11,463491061.5288925,42135551.04808114,104702910.99185857
Daniel York,1,254903701.02698028,254903701.02698028,176685781.68114662
Leonardo DiCaprio,19,6257425509.308505,329338184.7004476,986609028.8208162
Jon Erwin,2,25824540.00778368,12912270.00389184,14185578.500876198
Andrew Erwin,1,7310249.880349784,7310249.880349784,5067079.09375313
Theresa Preston,1,7310249.880349784,7310249.880349784,5067079.09375313
Franka Potente,4,628536415.1945797,157134103.79864493,252897583.98989433
Benno Fürmann,3,42916317.166930676,14305439.055643559,19831549.49618292
Joachim Król,3,3947326.3773789015,1315775.4591263004,1824052.0994867254
Carlos Álvarez-Nóvoa,1,507707.4213205282,507707.4213205282,351915.96763768437
María Galiana,1,507707.4213205282,507707.4213205282,351915.96763768437
Ana Fernández,1,507707.4213205282,507707.4213205282,351915.96763768437
Holly Hunter,12,2991750538.2816534,249312544.85680446,639474051.7375611
Evan Rachel Wood,5,196064367.49905714,39212873.499811426,70260037.40892898
Nikki Reed,1,16773447.662608696,16773447.662608696,11626467.955607021
George Lopez,3,178418577.58839187,59472859.196130626,82446889.34327312
Jamie Lee Curtis,7,402686524.34302425,57526646.33471775,119623298.14193615
Carlos PenaVega,1,4758313.243986718,4758313.243986718,3298211.409290441
Neal Jimenez,2,52319231.50396209,26159615.751981046,28739275.33196223
Marshall Brickman,3,182884048.4178334,60961349.47261113,84510375.02013983
Lindy Laub,1,51907717.26643173,51907717.26643173,35979687.87252994
Gerry Chiniquy,1,16565268.796642337,16565268.796642337,11482169.361610273
Ray Lee,1,16565268.796642337,16565268.796642337,11482169.361610273
Mike Joens,1,16565268.796642337,16565268.796642337,11482169.361610273
Rory Haines,2,418112415.4464732,209056207.7232366,229671718.82710072
Adam Sztykiel,3,739239289.5049486,246413096.50164953,341601086.1863282
Sohrab Noshirvani,2,418112415.4464732,209056207.7232366,229671718.82710072
Mackenzie Astin,1,43189475.09731445,43189475.09731445,29936662.893567476
David Ogden Stiers,1,43189475.09731445,43189475.09731445,29936662.893567476
Kevin Spacey,12,883475760.406355,73622980.03386292,188839215.33226025
Maggie Q,1,9824919.598501679,9824919.598501679,6810115.318929588
Michael Keaton,11,1123640816.006642,102149165.09151292,253831139.6061927
Samuel L. Jackson,22,3762555036.553871,171025228.93426687,536248616.1013524
Samir Khader,1,4395235.21361567,4395235.21361567,3046544.8962154905
George W. Bush,2,11150000.716438778,5575000.358219389,6124763.902868935
Josh Rushing,1,4395235.21361567,4395235.21361567,3046544.8962154905
Jeffrey Caine,2,1049329420.3136932,524664710.1568466,576403098.0088037
Michael France,2,1224535714.213036,612267857.106518,672644991.773711
Murray Schisgal,1,559515867.7727461,559515867.7727461,387826846.2252301
Don McGuire,1,559515867.7727461,559515867.7727461,387826846.2252301
Larry Gelbart,2,719445857.5753942,359722928.7876971,395196030.08184737
Claudia Christian,2,32023501.263906464,16011750.631953232,17590706.007353194
Michael Nouri,1,26147060.665193662,26147060.665193662,18123761.380008835
Kyle MacLachlan,7,137147814.224645,19592544.889234997,40741551.74990221
Kate Beckinsale,11,1835803140.1102471,166891194.55547702,414709039.1419678
Ben Affleck,19,2260678027.982959,118983054.10436626,356441375.1864706
Josh Hartnett,8,1474824805.5971498,184353100.69964373,405065163.76539624
Daniel Roebuck,1,9001465.412875326,9001465.412875326,6239340.371842396
Sam Sorbo,1,9001465.412875326,9001465.412875326,6239340.371842396
Kevin Sorbo,3,142170331.0573156,47390110.35243853,65696642.75443488
John Milius,3,868378830.2025244,289459610.06750816,401276225.20854884
